Routing Table for Node 0
Destination     Path                                               Path Delay      Path Cost      
10              6 4 5 10                                           112             14             
10              6 7 9 10                                           130             25             
11              6 4 3 8 11                                         176             19             
11              6 7 9 11                                           101             24             
12              6 4 5 12                                           109             15             
12              6 7 9 13 12                                        131             24             
13              6 4 5 12 13                                        159             16             
13              6 7 9 13                                           81              23             

Routing Table for Node 7
Destination     Path                                               Path Delay      Path Cost      
0               7 1 0                                              120             9              
0               7 6 4 5 2 0                                        210             18             
1               7 1                                                70              7              
1               7 6 4 5 2 1                                        229             17             
2               7 1 2                                              153             9              
2               7 6 4 5 2                                          146             15             
3               7 1 0 3                                            154             14             
3               7 6 4 3                                            182             16             
4               7 6 4                                              108             10             
4               7 1 2 5 4                                          191             14             
5               7 1 2 5                                            168             10             
5               7 6 4 5                                            131             14             
6               7 6                                                56              7              
6               7 1 2 5 4 6                                        243             17             
8               7 9 13 8                                           49              18             
8               7 1 0 3 8                                          164             23             
9               7 9                                                15              10             
9               7 1 2 5 10 9                                       264             25             
10              7 1 2 5 10                                         205             17             
10              7 9 10                                             74              18             
11              7 9 11                                             45              17             
11              7 1 2 5 12 13 8 11                                 316             22             
12              7 9 13 12                                          75              17             
12              7 1 2 5 12                                         202             18             
13              7 9 13                                             25              16             
13              7 1 2 5 12 13                                      252             19             

Routing Table for Node 8
Destination     Path                                               Path Delay      Path Cost      
0               8 3 0                                              44              14             
0               8 13 12 5 2 0                                      187             15             
1               8 13 12 5 2 1                                      206             14             
1               8 3 0 1                                            94              16             
2               8 13 12 5 2                                        123             12             
2               8 3 0 2                                            108             17             
3               8 3                                                10              9              
3               8 13 12 5 2 0 3                                    221             20             
4               8 3 4                                              84              15             
4               8 13 12 5 4                                        131             15             
5               8 13 12 5                                          108             11             
5               8 3 0 2 5                                          123             18             
6               8 3 4 6                                            136             18             
6               8 11 9 7 6                                         141             25             
7               8 11 9 7                                           85              18             
7               8 13 12 5 2 1 7                                    276             21             
9               8 11 9                                             70              8              
9               8 13 9                                             34              8              
10              8 11 9 10                                          129             16             
10              8 13 12 5 10                                       145             18             
11              8 11                                               40              1              
11              8 13 12 11                                         161             8              
12              8 13 12                                            74              3              
12              8 11 12                                            127             6              
13              8 13                                               24              2              
13              8 11 12 13                                         177             7              

Routing Table for Node 9
Destination     Path                                               Path Delay      Path Cost      
0               9 13 12 5 2 0                                      173             19             
0               9 7 1 0                                            135             19             
1               9 7 1                                              85              17             
1               9 13 12 5 2 1                                      192             18             
2               9 13 12 5 2                                        109             16             
2               9 7 1 2                                            168             19             
3               9 13 8 3                                           44              17             
3               9 10 5 2 0 3                                       209             24             
4               9 13 12 5 4                                        117             19             
4               9 7 6 4                                            123             20             
5               9 13 12 5                                          94              15             
5               9 10 5                                             96              15             
6               9 7 6                                              71              17             
6               9 13 12 5 4 6                                      169             22             
7               9 7                                                15              10             
7               9 13 12 5 2 1 7                                    262             25             
8               9 13 8                                             34              8              
8               9 11 8                                             70              8              
10              9 10                                               59              8              
10              9 13 12 5 10                                       131             22             
11              9 11                                               30              7              
11              9 13 8 11                                          74              9              
12              9 13 12                                            60              7              
12              9 11 12                                            117             12             
13              9 13                                               10              6              
13              9 11 8 13                                          94              10             

Routing Table for Node 10
Destination     Path                                               Path Delay      Path Cost      
0               10 5 2 0                                           116             11             
0               10 9 7 1 0                                         194             27             
1               10 5 2 1                                           135             10             
1               10 9 7 1                                           144             25             
2               10 5 2                                             52              8              
2               10 9 7 1 2                                         227             27             
3               10 5 2 0 3                                         150             16             
3               10 9 13 8 3                                        103             25             
4               10 5 4                                             60              11             
4               10 9 7 6 4                                         182             28             
5               10 5                                               37              7              
5               10 9 13 12 5                                       153             23             
6               10 5 4 6                                           112             14             
6               10 9 7 6                                           130             25             
7               10 5 2 1 7                                         205             17             
7               10 9 7                                             74              18             
8               10 9 13 8                                          93              16             
8               10 5 12 11 8                                       198             21             
9               10 9                                               59              8              
9               10 5 12 13 9                                       131             22             
11              10 9 11                                            89              15             
11              10 5 12 13 8 11                                    185             19             
12              10 5 12                                            71              15             
12              10 9 13 12                                         119             15             
13              10 9 13                                            69              14             
13              10 5 12 13                                         121             16             

Routing Table for Node 11
Destination     Path                                               Path Delay      Path Cost      
0               11 8 3 0                                           84              15             
0               11 12 5 2 0                                        200             17             
1               11 8 13 12 5 2 1                                   246             15             
1               11 9 7 1                                           115             24             
2               11 8 13 12 5 2                                     163             13             
2               11 9 7 1 2                                         198             26             
3               11 8 3                                             50              10             
3               11 12 5 2 0 3                                      234             22             
4               11 8 3 4                                           124             16             
4               11 12 5 4                                          144             17             
5               11 8 13 12 5                                       148             12             
5               11 9 10 5                                          126             22             
6               11 8 3 4 6                                         176             19             
6               11 9 7 6                                           101             24             
7               11 9 7                                             45              17             
7               11 8 13 12 5 2 1 7                                 316             22             
8               11 8                                               40              1              
8               11 12 13 8                                         161             8              
9               11 9                                               30              7              
9               11 8 13 9                                          74              9              
10              11 9 10                                            89              15             
10              11 8 13 12 5 10                                    185             19             
12              11 8 13 12                                         114             4              
12              11 12                                              87              5              
13              11 8 13                                            64              3              
13              11 12 13                                           137             6              

Routing Table for Node 12
Destination     Path                                               Path Delay      Path Cost      
0               12 5 2 0                                           113             12             
0               12 13 8 3 0                                        118             17             
1               12 5 2 1                                           132             11             
1               12 13 8 3 0 1                                      168             19             
2               12 5 2                                             49              9              
2               12 13 8 3 0 2                                      182             20             
3               12 13 8 3                                          84              12             
3               12 5 2 0 3                                         147             17             
4               12 5 4                                             57              12             
4               12 13 8 3 4                                        158             18             
5               12 5                                               34              8              
5               12 13 8 3 0 2 5                                    197             21             
6               12 5 4 6                                           109             15             
6               12 13 9 7 6                                        131             24             
7               12 13 9 7                                          75              17             
7               12 5 2 1 7                                         202             18             
8               12 13 8                                            74              3              
8               12 11 8                                            127             6              
9               12 13 9                                            60              7              
9               12 11 9                                            117             12             
10              12 13 9 10                                         119             15             
10              12 5 10                                            71              15             
11              12 13 8 11                                         114             4              
11              12 11                                              87              5              
13              12 13                                              50              1              
13              12 11 8 13                                         151             8              

Routing Table for Node 13
Destination     Path                                               Path Delay      Path Cost      
0               13 12 5 2 0                                        163             13             
0               13 8 3 0                                           68              16             
1               13 12 5 2 1                                        182             12             
1               13 8 3 0 1                                         118             18             
2               13 12 5 2                                          99              10             
2               13 8 3 0 2                                         132             19             
3               13 8 3                                             34              11             
3               13 12 5 2 0 3                                      197             18             
4               13 12 5 4                                          107             13             
4               13 8 3 4                                           108             17             
5               13 12 5                                            84              9              
5               13 8 3 0 2 5                                       147             20             
6               13 12 5 4 6                                        159             16             
6               13 9 7 6                                           81              23             
7               13 9 7                                             25              16             
