N          p          Queue Type           Average PD                                         Std Dev of PD                                      Avg Link Util                                     
8.0        0.0        INQ                  1.2774430310694538                                 1.7040782881092502                                 0.5041125                                         
8.0        0.0        INQ                  1.2606425303361846                                 1.6880200831740506                                 0.5027                                            
100.0      0.0        INQ                  1.6488130387377238                                 2.086109605187348                                  0.496183                                          
100.0      0.0        INQ                  5.7860042548206305                                 2.7974702168995713                                 0.588979                                          
100.0      0.0        ISLIP                32.75853525779388                                  96.16274093709688                                  0.106558                                          
100.0      0.0        ISLIP                34.07517405457597                                  198.40309873865561                                 0.11003158                                        
8.0        0.0        ISLIP                11.776462088066472                                 28.260107037943573                                 0.3114125                                         
8.0        0.0        INQ                  5.455652244139797                                  2.3899334274250257                                 0.6191125                                         
8.0        0.0        INQ                  11.955449660346751                                 3.4523189293778387                                 0.6164375                                         
8.0        0.0        ISLIP                24.96807089419309                                  121.03833743230645                                 0.2807                                            
8.0        0.0        ISLIP                24.00620308356183                                  100.96754901571036                                 0.2780875                                         
8.0        0.0        ISLIP                23.78273836018873                                  96.48501708340696                                  0.280825                                          
8.0        0.0        ISLIP                23.349660956459672                                 69.83422214816987                                  0.2802                                            
8.0        0.0        ISLIP                23.031224143186865                                 96.72040240530676                                  0.2870375                                         
8.0        0.0        ISLIP                23.156804866049466                                 83.26247022620873                                  0.2794875                                         
8.0        0.0        ISLIP                22.501230586438087                                 77.46730137939316                                  0.294575                                          
8.0        0.0        ISLIP                7.140952929322009                                  14.352251673422249                                 0.868375                                          
8.0        0.0        ISLIP                7.123570749690389                                  14.22174624619807                                  0.868025                                          
8.0        5.0E-5     ISLIP                0.6542512705934347                                 1.4857814854867641                                 0.5091125                                         
8.0        0.5        ISLIP                0.6748220096396154                                 1.5388290978990486                                 0.5109125                                         
8.0        1.0        ISLIP                3.43660870365259                                   6.328667747508236                                  0.815175                                          
8.0        1.0        KOUQ                 4.100090548164658                                  1.4322714124006677                                 0.8973125                                         
